Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
Cumulus Placemat,Beginner,Sport,Cotton,170,,E/3.5mm crochet hook,https://www.crochet.com/cumulus-placemat/p/15908D
Daisy Mandala Beanie,Intermediate,DK,Cotton,246,,Size D/3 (3.25mm) Crochet hook,https://www.crochet.com/daisy-mandala-beanie/p/58053
Day Off Tank,Intermediate,Fingering,Wool,725-1560,,D/3.25mm and G/4.0mm crochet hook,https://www.crochet.com/day-off-tank/p/15714D
Dearly Beloved Shawl,Intermediate,Fingering,Wool,924,,Sizes G/6 (4.00mm) & 7 (4.50mm) Crochet hook,https://www.crochet.com/dearly-beloved-shawl/p/58056
Diamond Bucket Bag,Intermediate,Bulky,Acrylic,680,,Sizes I/9 (5.5mm) & K/10.5 (6.5mm) Crochet hooks,https://www.crochet.com/diamond-bucket-bag/p/58058
Diamonds Headband,Beginner,Worsted,Acrylic,218,,H/5.0mm crochet hook,https://www.crochet.com/diamonds-headband/p/18389D
Double Thick Tunisian Crochet Potholder,Intermediate,Worsted,Cotton,130,,I/5.5mm crochet hook,https://www.crochet.com/double-thick-tunisian-crochet-potholder/p/15926D
Dude Hat and Scarf Set,Intermediate,Worsted,Acrylic,800-1100,,H/5.0mm crochet hook,https://www.crochet.com/dude-hat-and-scarf-set/p/17757D
Eclipse Tunisian Cocoon,Intermediate,"Worsted, Aran/Heavy Worsted",,1526-1744,Crochet,US L/11 (8mm) Tunisian Crochet hook,https://www.crochet.com/eclipse-tunisian-cocoon/p/55136D
Efficient Tee,Intermediate,Bulky,Cotton,480-720,,N/10mm crochet hook,https://www.crochet.com/efficient-tee/p/18753D
Elephant Lovey,Intermediate,Worsted,Acrylic,228,,"E/3.5mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/elephant-lovey/p/18819D
Everyday Striped Cardigan,Intermediate,Worsted,Wool,1447-2485,,H/5.0mm and I/5.5mm crochet hooks,https://www.crochet.com/everyday-striped-cardigan/p/17743D
Extended Half Double Crochet Hat,Beginner,"Worsted, Aran/Heavy Worsted",Alpaca,164,,H/5.0mm crochet hook,https://www.crochet.com/extended-half-double-crochet-hat/p/18478D
Falynn Beanie,Intermediate,Worsted,Wool,90-210,,H/5.0mm crochet hook,https://www.crochet.com/falynn-beanie/p/18720D
Fisherman's Wharf Shawl,Intermediate,Fingering,Wool,1617,Crochet,I/5.5mm crochet hook,https://www.crochet.com/fisherman-s-wharf-shawl/p/17901D
Floral Pochette,Intermediate,Sport,Acrylic,1092,,Sizes US D/3 (3.25mm) & H/8 (5.00mm) Crochet hook,https://www.crochet.com/floral-pochette/p/58052
Floral Tapestry Top,Intermediate,Sport,Wool,1048-1572,,Size 7 (4.5mm) Crochet hook,https://www.crochet.com/floral-tapestry-top/p/58054
Floral Tote Bag,Intermediate,Worsted,Cotton,494,,H/5.0mm crochet hook,https://www.crochet.com/floral-tote-bag/p/15590D
Flower Garden Scarf,Intermediate,Sport,Cotton,770,,Size G/6 (4.00 mm) Crochet hook,https://www.crochet.com/flower-garden-scarf/p/58061
Flower Girl Hairclip,Intermediate,Lace,Cotton,721,,Size 7 (1.65mm) crochet hook,https://www.crochet.com/flower-girl-hairclip/p/58040
Freya the Fox,,Worsted,,692,Crochet,3.0mm crochet hook,https://www.crochet.com/freya-the-fox/p/N3903
Geddes Avenue Tote Bag,Intermediate,Worsted,Cotton,300-430,,G/4.0mm crochet hook,https://www.crochet.com/geddes-avenue-tote-bag/p/12427D
General Store Messenger Bag,Intermediate,Worsted,Wool,434,,Size  I/9 (5.50mm) Crochet hook,https://www.crochet.com/general-store-messenger-bag/p/54069D
Giant Panda,Intermediate,Bulky,Alpaca,568,,D/3.25mm crochet hook,https://www.crochet.com/giant-panda/p/54037D
Gnome Christmas Tree Ornament,Intermediate,"Super Bulky, Worsted",,57,,I/5.5mm and E/3.5mm crochet hook,https://www.crochet.com/gnome-christmas-tree-ornament/p/17985D
Granny Square Cardigan,Intermediate,DK,Cotton,2030,,7/4.5mm crochet hook,https://www.crochet.com/granny-square-cardigan/p/15612D
Great Basin Wildrye Cable Hat,Intermediate,Sport,Wool,296-592,,Sizes D/3 (3.25mm)& E/4 (3.5mm) Crochet hook,https://www.crochet.com/great-basin-wildrye-cable-hat/p/54067D
Great Basin Wildrye Cable Mitts,Intermediate,Sport,Wool,296,,Size E/4 (3.50mm) Crochet hook,https://www.crochet.com/great-basin-wildrye-cable-mitts/p/54065D
Gum Drop Pullover,Intermediate,Fingering,Wool,1310-2300,,F/3.75mm crochet hook,https://www.crochet.com/gum-drop-pullover/p/18582D
Hanging Sloth Planter,Intermediate,Worsted,Acrylic,136,,Size K/10.5 (6.5mm) and Size G/6 (4mm): hooks,https://www.crochet.com/hanging-sloth-planter/p/17780D
Happy Hippo,Intermediate,Worsted,Acrylic,1308,,D/3.25mm crochet hook,https://www.crochet.com/happy-hippo/p/54035D
Hawthorne Tee,Intermediate,Fingering,Wool,830-1740,Crochet,7/4.5mm crochet hook,https://www.crochet.com/hawthorne-tee/p/18483D
Hawthorne Tonal Shawl,Intermediate,Fingering,Wool,714,,H/5.0mm crochet hook,https://www.crochet.com/hawthorne-tonal-shawl/p/17935D
Hearthstone Top,Intermediate,Worsted,Wool,1526,,"K/10.5 (6.5mm), J/10 (6.0mm) crochet hook",https://www.crochet.com/hearthstone-top/p/58163
Heather Sweater,Intermediate,Worsted,Wool,1265-3410,,H/5.0mm crochet hook,https://www.crochet.com/heather-sweater/p/18690D
Hello Pumpkin Mosaic Hat,Intermediate,Worsted,Cotton,95-250,,"7/4.5mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/hello-pumpkin-mosaic-hat/p/18939D
Her Dream Crochet Cardigan,Intermediate,Fingering,Cotton,1570-1962,,C/2.75mm crochet hook,https://www.crochet.com/her-dream-crochet-cardigan/p/14533D
Herringbone Moss Sweater,Intermediate,DK,Wool,490-1355,,7/4.5mm crochet hook,https://www.crochet.com/herringbone-moss-sweater/p/15747D
Hickory Hoodie,Intermediate,Bulky,Wool,1370-2466,,US K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/hickory-hoodie/p/55049D
Hideaway Pillow,Intermediate,Worsted,Cotton,872,,G (4.25mm) crochet hook,https://www.crochet.com/hideaway-pillow/p/58154
Holiday Bulb Ornament,Intermediate,Worsted,Acrylic,436,,G/6 (4.0mm) crochet hook,https://www.crochet.com/holiday-bulb-ornament/p/58143
Holiday Gnome Pillow,Intermediate,Super Bulky,Acrylic,423,,N (10.0mm) crochet hook,https://www.crochet.com/holiday-gnome-pillow/p/58139
Holiday Lights Blanket,Intermediate,Worsted,Cotton,2175,,H/8 (5.0mm) crochet hook,https://www.crochet.com/holiday-lights-blanket/p/58152
Honeycomb Backpack,Intermediate,Worsted,Cotton,1140,,Size C/2 (2.75mm) Crochet hook,https://www.crochet.com/honeycomb-backpack/p/58043
Honeycomb Tunisian Top,Intermediate,Fingering,Cotton,654-1526,,"7/4.5mm crochet hook, E/3.5mm crochet hook",https://www.crochet.com/honeycomb-tunisian-top/p/54014D
Hook Squad Baja Jacket,Intermediate,Worsted,Acrylic,2206-3837,Crochet,I/5.5mm crochet hook,https://www.crochet.com/hook-squad-baja-jacket/p/17897D
Hyannis Pullover,Intermediate,Fingering,Wool,1617-3003,,G/6 (4 mm) Crochet hook,https://www.crochet.com/hyannis-pullover/p/55108D
Hygge Poncho,Intermediate,Worsted,Wool,2310-2970,,G/6 (4.0mm) and H/8 (5.0mm) crochet hook,https://www.crochet.com/hygge-poncho/p/58156
Into the Fade Crochet Hat,Intermediate,Worsted,Wool,197,,"H/5.0mm, I/5.5mm crochet hooks",https://www.crochet.com/into-the-fade-crochet-hat/p/18093D
Jamboree Shoulder Strap,Intermediate,DK,Cotton,246,,F/3.75mm crochet hook,https://www.crochet.com/jamboree-shoulder-strap/p/54000D
Jayda Tee,Intermediate,Fingering,Wool,870-1741,,G/4.0mm crochet hook,https://www.crochet.com/jayda-tee/p/18844D
Jolene Motif Top,Intermediate,Fingering,Wool,714-2141,,"G/4.0mm, 7/4.5mm, H/5.0mm crochet hook",https://www.crochet.com/jolene-motif-top/p/54084D
Joyous Blanket,Beginner,Worsted,Acrylic,2358,,L/8.0mm crochet hook,https://www.crochet.com/joyous-blanket/p/18807D
KJ Hat,Intermediate,Bulky,Wool,90-120,,J/6.0mm crochet hook,https://www.crochet.com/kj-hat/p/18014D
Kaleidoscope Triangle Cowl,Intermediate,Worsted,Cotton,188,,H/5.0mm crochet hook,https://www.crochet.com/kaleidoscope-triangle-cowl/p/18081D
Kalyin Sweater,Intermediate,Worsted,Wool,630-2135,,H/5.0mm crochet hook,https://www.crochet.com/kalyin-sweater/p/18031D
Knoll Dishcloth,Beginner,Worsted,Cotton,150,,7/4.5mm crochet hook,https://www.crochet.com/knoll-dishcloth/p/18797D
Knoll Tee,Intermediate,DK,Cotton,860-1350,,7/4.5mm crochet hook,https://www.crochet.com/knoll-tee/p/18884D
Koala Blanket,Intermediate,Sport,Cotton,1349,,E/3.5mm crochet hook,https://www.crochet.com/koala-blanket/p/18826D
Lark Throw,Intermediate,Worsted,Acrylic,2834,,I/5.5mm crochet hook,https://www.crochet.com/lark-throw/p/18238D
Latitude Pullover,Intermediate,DK,Wool,984-2214,,H/8 (5.0mm) Crochet hook,https://www.crochet.com/latitude-pullover/p/55107D
Lavender Tea Blanket,Intermediate,Bulky,Acrylic,2040-4760,,M/13 (9.0mm) Crochet hook,https://www.crochet.com/lavender-tea-blanket/p/55038D
Layer Cake Cowl,Intermediate,Worsted,Wool,396,,US G/6 (4.00mm) Crochet hook,https://www.crochet.com/layer-cake-cowl/p/55082D
Le Tote Bag,Intermediate,Worsted,Cotton,825,,Size H/8 (5.00 mm) Crochet hook,https://www.crochet.com/le-tote-bag/p/58051
Lighthouse Wrap,Intermediate,Fingering,Wool,1155,,I /5.5 mm crochet hook,https://www.crochet.com/lighthouse-wrap/p/54047D
London Fog Poncho,Intermediate,Worsted,Wool,1575-2175,,H/5.0mm crochet hook,https://www.crochet.com/london-fog-poncho/p/18038D
Lorelei Sweater,Intermediate,Worsted,Acrylic,900-1700,,"H/5.0mm crochet hook, J/6.00mm crochet hook",https://www.crochet.com/lorelei-sweater/p/18183D
Lovestruck Jar Cozy,Intermediate,Lace,Cotton,721,,Size 8 (1.5 mm) Steel Crochet hook,https://www.crochet.com/lovestruck-jar-cozy/p/58046
Lucy Cardigan,Intermediate,Sport,Wool,917-1048,,G/4.0mm crochet hook,https://www.crochet.com/lucy-cardigan/p/54050D
Malibu Wrap,Intermediate,Fingering,Wool,4158,,B/2.5mm crochet hook,https://www.crochet.com/malibu-wrap/p/54041D
Mandala Bunting,Intermediate,Worsted,Cotton,190,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/mandala-bunting/p/58047
Matcha Blanket,Intermediate,Worsted,Acrylic,1526-3924,,M/13 (9.0mm) Crochet hook,https://www.crochet.com/matcha-blanket/p/55041D
Mia Bag,Intermediate,Worsted,Cotton,1140,,US G/6 (4.00mm) Crochet hook,https://www.crochet.com/mia-bag/p/55121D
Michelle Tote,Intermediate,Worsted,Cotton,400,,I/5.5mm crochet hook,https://www.crochet.com/michelle-tote/p/18130D
Mini Mountains Blanket,Intermediate,Worsted,Wool,1120,,H/5.0mm crochet hook,https://www.crochet.com/mini-mountains-blanket/p/18840D
Mirabeau Tote,Intermediate,"Lace, Fingering",Cotton,590,,E/3.5mm crochet hook,https://www.crochet.com/mirabeau-tote/p/18859D
Mochi Cowl,Intermediate,Sport,Acrylic,680,,J/10 (6.0mm) Tunisian crochet hook,https://www.crochet.com/mochi-cowl/p/55089D
Moraine Blanket,Beginner,Worsted,Wool,225-8150,,H/5.0mm crochet hook,https://www.crochet.com/moraine-blanket/p/14467D
Mosaic Bricks Tote,Intermediate,Worsted,Cotton,355,,G/4.0mm crochet hook,https://www.crochet.com/mosaic-bricks-tote/p/13076D
Nantucket Vest,Intermediate,Worsted,Wool,847-1737,Crochet,H/5.0mm crochet hook,https://www.crochet.com/nantucket-vest/p/18852D
Newlywed Banner,Intermediate,Fingering,Cotton,540,,Sizes C/2 (2.75mm) & E/4 (3.5mm) Crochet hook,https://www.crochet.com/newlywed-banner/p/58048
Nordic Colorwork Blanket,Intermediate,Bulky,Acrylic,6800,,L/11 (8.0mm) crochet hook,https://www.crochet.com/nordic-colorwork-blanket/p/58159
Ochoco Colorwork Cap,Intermediate,Worsted,Wool,217,Crochet,Sizes H/8 (5.00mm) & J/10 (6.00mm) Crochet hook,https://www.crochet.com/ochoco-colorwork-cap/p/54068D
Ophelia Baby Blanket,Intermediate,Bulky,Cotton,1000,,I/5.5mm crochet hook,https://www.crochet.com/ophelia-baby-blanket/p/18005D
Otto the Otter,Intermediate,Worsted,Wool,330,,E/3.5mm crochet hook,https://www.crochet.com/otto-the-otter/p/54036D
Owl and Bird Keychain,Intermediate,Worsted,Acrylic,162,,"E/3.5mm, G/4mm crochet hooks",https://www.crochet.com/owl-and-bird-keychain/p/54009D
Paradise Canyon Clutch,Intermediate,Worsted,Wool,217,Crochet,Size F/5 (3.75mm) Crochet hook,https://www.crochet.com/paradise-canyon-clutch/p/54061D
Party Punch Shawl,Intermediate,Fingering,Wool,345,Crochet,I/5.5mm crochet hook,https://www.crochet.com/party-punch-shawl/p/17892D
Pebble Beach Shawl,Intermediate,Fingering,Wool,1341-1639,,C/3.0mm crochet hook,https://www.crochet.com/pebble-beach-shawl/p/54044D
Pebbles the Penguin,Intermediate,Worsted,Acrylic,1090,,E/3.5mm crochet hook,https://www.crochet.com/pebbles-the-penguin/p/54033D
Peony Pocket Pouch,Intermediate,Worsted,Cotton,218,,E/3.5mm crochet hook,https://www.crochet.com/peony-pocket-pouch/p/54008D
Perfect Match Tote,Intermediate,Sport,Wool,917,,Size D/3 (3.25mm) Crochet hook,https://www.crochet.com/perfect-match-tote/p/58045
Perseid Sweater,Intermediate,Worsted,Wool,1100-1540,,J/10 (6.0mm) crochet hook,https://www.crochet.com/perseid-sweater/p/58164
Persimmon Pocket Shawl,Intermediate,Worsted,Wool,1210,,I/5.5mm crochet hook,https://www.crochet.com/persimmon-pocket-shawl/p/18685D
Plum Cowl,Intermediate,Worsted,Wool,220,,7 (4.5mm) & H/8 (5.0mm) Crochet hook,https://www.crochet.com/plum-cowl/p/55088D
Polaris Pullover,Intermediate,Sport,Wool,1476-2583,,H/8 (5.0mm) and J/10 (6.0mm) crochet hook,https://www.crochet.com/polaris-pullover/p/58162
Pollinator Bucket Hat,Intermediate,Lace,Cotton,295,,Sizes D/3 (3.25mm)& E/4 (3.50mm) Crochet hook,https://www.crochet.com/pollinator-bucket-hat/p/54030D
Pom-Pom Tree Skirt,Intermediate,"Super Bulky, Bulky",Acrylic,1764,,O/16 (12.00 mm) crochet hook,https://www.crochet.com/pom-pom-tree-skirt/p/58149
Pony Creek Fair Isle Cowl,Intermediate,Worsted,Wool,217,Crochet,Size J/10 (6.00mm) Crochet hook,https://www.crochet.com/pony-creek-fair-isle-cowl/p/58285
Portside Pullover,Intermediate,Worsted,Cotton,1090-2289,,H/8 (5mm) Crochet hook,https://www.crochet.com/portside-pullover/p/55104D
Primrose Hat,Intermediate,DK,Wool,514-760,,"Sizes H/8 (5.00mm), 7 (4.50mm), and F/5 (3.75mm) Crochet hooks",https://www.crochet.com/primrose-hat/p/58062
Prism Mosaic Afghan,Intermediate,Worsted,Wool,3520,,I/5.5mm crochet hook,https://www.crochet.com/prism-mosaic-afghan/p/58133
Pulmu Pullover,Intermediate,Fingering,Wool,2079-3696,,"D/3 (3.0mm), C/2 (2.75mm) Crochet hook",https://www.crochet.com/pulmu-pullover/p/58138
Pumpkin Spice Pillow,Intermediate,Bulky,Wool,822,,H/8 (5.0mm) Crochet hook,https://www.crochet.com/pumpkin-spice-pillow/p/55040D
RBeadG Tank,Intermediate,Fingering,Cotton,600-1226,Crochet,D/3.25mm crochet hook,https://www.crochet.com/rbeadg-tank/p/18814D
Rainbow BabyBurst Blanket,Intermediate,Sport,Acrylic,1961,,7/4.5mm crochet hook,https://www.crochet.com/rainbow-babyburst-blanket/p/18135D
Rainbow Bucket Bag,Intermediate,Sport,Acrylic,2184,,E/3.5mm crochet hook,https://www.crochet.com/rainbow-bucket-bag/p/54058D
Reindeer Ornament,Intermediate,Worsted,Acrylic,436,,G/6 (4.0mm),https://www.crochet.com/reindeer-ornament/p/58142
Reno Cardigan,Intermediate,Worsted,,1079-2298,Crochet,I/5.5mm crochet hook,https://www.crochet.com/reno-cardigan/p/N16092D
Revelry Cardigan,Intermediate,Bulky,Wool,1507-2192,,I/9 (5.5mm) and K/10.5 (6.5mm) crochet hook,https://www.crochet.com/revelry-cardigan/p/58165
River Stone Granny Bag,Intermediate,Worsted,,545,Crochet,7/4.5mm crochet hook,https://www.crochet.com/river-stone-granny-bag/p/N2332
Rose Cardi,Intermediate,Sport,Cotton,1475-2843,,G/4.0mm crochet hook,https://www.crochet.com/rose-cardi/p/18855D
Rose Window Top,Intermediate,Lace,Silk,1746-2182,,Size B/1 (2.25mm) Crochet hook,https://www.crochet.com/rose-window-top/p/58060
Rowyn Tote Bag,Intermediate,Worsted,Cotton,570,,H/5.0mm crochet hook,https://www.crochet.com/rowyn-tote-bag/p/18913D
Rum Raisin Cowl,Intermediate,"Worsted, DK",Alpaca,246,,size L/11 (8.0mm) Tunisian hook,https://www.crochet.com/rum-raisin-cowl/p/55081D
Rusty Road Crop Top,Intermediate,Fingering,Wool,500-1000,,"E/3.5mm crochet hook, 7/4.5mm crochet hook",https://www.crochet.com/rusty-road-crop-top/p/18846D
Saccharine Scarf,Beginner,DK,Alpaca,110-215,,E/3.5mm crochet hook,https://www.crochet.com/saccharine-scarf/p/15922D
Sadie Cap,Intermediate,Sport,Wool,298,Crochet,Sizes D/3 (3.25mm) & F/5 (3.75mm) Crochet hook,https://www.crochet.com/sadie-cap/p/54066D
Sage Canyon Colorwork Cowl,Intermediate,Sport,Wool,596,,Size H/8 (5.00mm) Crochet hook,https://www.crochet.com/sage-canyon-colorwork-cowl/p/54064D
Sandy Sea Shells Wrap Cardi,Intermediate,"DK, Sport",Wool,830-1720,,7/4.5mm crochet hook,https://www.crochet.com/sandy-sea-shells-wrap-cardi/p/18906D
Scallops and Shells Crochet Shawl,Intermediate,Fingering,Wool,924,,H/5.0mm crochet hook,https://www.crochet.com/scallops-and-shells-crochet-shawl/p/12885D
Scrivener Shawl,Intermediate,Fingering,Wool,964,,H/5.0mm crochet hook,https://www.crochet.com/scrivener-shawl/p/15726D
Secret Garden Top,Intermediate,Fingering,Silk,1015-1871,,3.0mm and E/3.5mm crochet hook,https://www.crochet.com/secret-garden-top/p/15934D
Sedona Pullover,Intermediate,"Worsted, Aran/Heavy Worsted",Alpaca,1333-2301,Crochet,G/4.0mm crochet hook,https://www.crochet.com/sedona-pullover/p/15713D
Seth the Sloth,Intermediate,"Super Bulky, Worsted",,87,Crochet,Size I/9 (5.5mm) and E/4 (3.5mm): hooks,https://www.crochet.com/seth-the-sloth/p/17864D
Shiloh Tee,Intermediate,Fingering,Cotton,800-2150,,E/3.5mm crochet hook,https://www.crochet.com/shiloh-tee/p/18323D
Sir Clucksalot,Beginner,"Worsted, Super Bulky",,34,,"E/3.5mm, I/5.5mm crochet hooks",https://www.crochet.com/sir-clucksalot/p/18102D
Sleepy Time Pillow,Intermediate,Bulky,Acrylic,816,,K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/sleepy-time-pillow/p/55037D
Sloan Bag,Intermediate,Worsted,Cotton,360,,US G/7 (4.5 mm) Crochet hook,https://www.crochet.com/sloan-bag/p/55120D
Snow Crystal Sweater,Intermediate,DK,Wool,1968-3321,,H/8 95.0mm) and G/6 (4.0mm) crochet hook,https://www.crochet.com/snow-crystal-sweater/p/58155
Snowcapped Tree Ornament,Intermediate,Worsted,Acrylic,436,,G/6 (4.0mm) crochet hook,https://www.crochet.com/snowcapped-tree-ornament/p/58141
Snowy Pines Tree Ornament,Beginner,"Super Bulky, Bulky",,16,,I /5.5 mm crochet hook,https://www.crochet.com/snowy-pines-tree-ornament/p/18092D
Sorella Cardigan,Intermediate,Worsted,Acrylic,872-1744,,J/6.00mm crochet hook,https://www.crochet.com/sorella-cardigan/p/18839D
Sprinkle Cowl,Intermediate,Worsted,Wool,396,,G/6 (4.0mm) Crochet hook,https://www.crochet.com/sprinkle-cowl/p/55080D
Squirrel Fair Isle Crochet Mittens,Intermediate,Fingering,Wool,414,Crochet,F/3.75mm crochet hook,https://www.crochet.com/squirrel-fair-isle-crochet-mittens/p/18110D
Stadium Blanket,Intermediate,Bulky,,3900,Crochet,L/8.0mm crochet hook,https://www.crochet.com/stadium-blanket/p/N2324
Stardust Cowl,Intermediate,Bulky,Alpaca,284,,K/10.5 (6.5mm) & L/11 (8.0mm) Crochet hook,https://www.crochet.com/stardust-cowl/p/55085D
Staycation Shorts,Intermediate,Worsted,Cotton,450-800,,"G/4mm crochet hook, I/5.5mm crochet hook",https://www.crochet.com/staycation-shorts/p/18142D
Stevie Bottle Bag,Beginner,Worsted,Cotton,280,,F/3.75mm crochet hook,https://www.crochet.com/stevie-bottle-bag/p/15918D
Stevie Tote,Beginner,Worsted,Cotton,1100,,F/3.75mm crochet hook,https://www.crochet.com/stevie-tote/p/15920D
Summer Blossom Hat,Intermediate,Fingering,Cotton,180-250,,E/3.5mm crochet hook,https://www.crochet.com/summer-blossom-hat/p/15900D
Summer Solstice Circle Bag,Intermediate,Bulky,Cotton,360,,H/5.0mm crochet hook,https://www.crochet.com/summer-solstice-circle-bag/p/54007D
Sunflower Tote,Intermediate,Worsted,Cotton,570,,Size 7 (4.50mm) Crochet hook,https://www.crochet.com/sunflower-tote/p/58055
Suzette Ridge Washcloth,Intermediate,Worsted,Cotton,238,,G/4.0mm crochet hook,https://www.crochet.com/suzette-ridge-washcloth/p/15736D
Swagger Sweater - Child Sizes,Intermediate,Worsted,,650-1400,Crochet,I/5.5mm crochet hook,https://www.crochet.com/swagger-sweater-child-sizes/p/N2722
Sweet & Simple Table Runner,Intermediate,Lace,Cotton,1442,,Size 7 (1.65mm) Steel Crochet hook,https://www.crochet.com/sweet-simple-table-runner/p/58042
Sweet Slippers,Beginner,Worsted,Wool,220-280,,I/5.5mm crochet hook,https://www.crochet.com/sweet-slippers/p/14266D
Sweetgum Cardigan,Intermediate,Bulky,Wool,1096-2329,,,https://www.crochet.com/sweetgum-cardigan/p/55095D
Swept Away Shawl,Intermediate,Fingering,Wool,920,,I /5.5 mm Tunisian crochet hook,https://www.crochet.com/swept-away-shawl/p/54042D
Taffy Swoncho,Intermediate,Worsted,Acrylic,872-2180,,H/8 (5.0mm) Crochet hook,https://www.crochet.com/taffy-swoncho/p/55023D
Tassle Tote,Beginner,Worsted,,654,Crochet,7/4.5mm crochet hook,https://www.crochet.com/tassle-tote/p/N16021D
The Breezy Eyelet Shawl,Beginner,Worsted,Cotton,350,,I /5.5 mm crochet hook,https://www.crochet.com/the-breezy-eyelet-shawl/p/18085D
The Entwined Vest,Intermediate,"Bulky, Aran/Heavy Worsted",Alpaca,568-1278,,L/8.0mm Tunisian crochet hook,https://www.crochet.com/the-entwined-vest/p/18548D
The Line Up Bucket Hat,Intermediate,Worsted,Cotton,1140,,F/3.75 and D/3.25mm crochet hook,https://www.crochet.com/the-line-up-bucket-hat/p/54005D
Tide Knot Cover Up,Intermediate,Worsted,Cotton,735-1125,,J/6.00mm crochet hook,https://www.crochet.com/tide-knot-cover-up/p/18403D
Tied and True Tee,Intermediate,Fingering,Wool,300-1600,,Size G/6 (4mm): hook,https://www.crochet.com/tied-and-true-tee/p/17818D
Track Stitch Tunic,Intermediate,"Sport, Fingering, Aran/Heavy Worsted, Worsted",Cotton,1080-1620,,G/4.0mm crochet hook,https://www.crochet.com/track-stitch-tunic/p/18095D
Traveler Fair Isle Crochet Sweater,Intermediate,Worsted,Wool,1210-2530,,H/5.0mm crochet hook,https://www.crochet.com/traveler-fair-isle-crochet-sweater/p/18114D
Trevor Triceratops,Intermediate,Worsted,Acrylic,380,,E/3.5mm crochet hook,https://www.crochet.com/trevor-triceratops/p/18780D
Triunity Tee,Intermediate,Fingering,Wool,1250-2400,Crochet,E/3.5mm crochet hook,https://www.crochet.com/triunity-tee/p/18870D
Tuff Love Toque,Beginner,Super Bulky,Wool,70-105,Crochet,M/9mm crochet hook,https://www.crochet.com/tuff-love-toque/p/18487D
Tunisian Checkerboard Throw,Intermediate,"Bulky, Aran/Heavy Worsted",Acrylic,1224,,7.0mm Tunisian Crochet Hook,https://www.crochet.com/tunisian-checkerboard-throw/p/58161
Two-Tone Cotton Placemat,Beginner,Worsted,Cotton,213,Crochet,G/4.0mm crochet hook,https://www.crochet.com/two-tone-cotton-placemat/p/18754D
Universal Dishcloth,Intermediate,Worsted,Cotton,90,,H/5.0mm crochet hook,https://www.crochet.com/universal-dishcloth/p/19063D
Verona Tee,Intermediate,Fingering,Wool,988-1990,,G/4.0mm and C/3mm crochet hook,https://www.crochet.com/verona-tee/p/18059D
Veronica Lace Top,Intermediate,"Worsted, Fingering",Wool,880-1760,,G/4.0mm crochet hook,https://www.crochet.com/veronica-lace-top/p/54083D
Vine Colorwork Crochet Socks,Intermediate,Fingering,Wool,375,,E/3.5mm crochet hook,https://www.crochet.com/vine-colorwork-crochet-socks/p/18640D
Waffle Vest,Intermediate,Worsted,Wool,748-2504,,I/5.5mm crochet hook,https://www.crochet.com/waffle-vest/p/18558D
Waffley Cute Dishcloth,Intermediate,Worsted,Cotton,90,,H/5.0mm crochet hook,https://www.crochet.com/waffley-cute-dishcloth/p/19020D
Walnut Duster,Intermediate,Bulky,Wool,959-2055,,7.0 mm Crochet hook,https://www.crochet.com/walnut-duster/p/55047D
Warm Lights Pillow,Intermediate,Bulky,Wool,411,,I/9 (5.5mm),https://www.crochet.com/warm-lights-pillow/p/58153
Wedded Wall Hanging,Intermediate,Lace,Cotton,721,,Size 7 (1.65mm) Steel Crochet hook,https://www.crochet.com/wedded-wall-hanging/p/58041
Wedding Planner Dress,Intermediate,Fingering,Cotton,1440-2160,,Size  F/5 (3.75mm) Crochet hook,https://www.crochet.com/wedding-planner-dress/p/58059
Whirl Crochet Afghan,Beginner,"Sport, Bulky",Acrylic,810-1540,,G/4.0mm or L/8.0mm crochet hook depending on size being made,https://www.crochet.com/whirl-crochet-afghan/p/11572D
Whispering Pines,Intermediate,"Worsted, Aran/Heavy Worsted",Alpaca,950-2400,,J/6.0mm crochet hook,https://www.crochet.com/whispering-pines/p/15733D
Whispering Wind Cardi,Intermediate,Fingering,,1490-3675,Crochet,F/3.75mm crochet hook,https://www.crochet.com/whispering-wind-cardi/p/N2008
Wide Leg Crochet Shorts,Intermediate,"Lace, Fingering",Cotton,730-1160,,D/3.0mm crochet hook,https://www.crochet.com/wide-leg-crochet-shorts/p/18887D
Willowdale Tunisian Scarf,Intermediate,Sport,Wool,298,,Size H/8 (5.00mm) Tunisian crochet hook,https://www.crochet.com/willowdale-tunisian-scarf/p/54071D
Windflower Colorwork Cowl,Intermediate,Sport,Wool,596,,Size G/6 (4.00mm) Crochet hook,https://www.crochet.com/windflower-colorwork-cowl/p/54063D
Winter Cabin Pillow,Intermediate,Sport,Cotton,1980,,I/9 (5.5mm) crochet hook,https://www.crochet.com/winter-cabin-pillow/p/58150
Winter Freeze Mosaic Crochet Blanket,Intermediate,Worsted,Acrylic,1690-9120,,G/4.0mm crochet hook,https://www.crochet.com/winter-freeze-mosaic-crochet-blanket/p/15898D
Winter Mosaic Pillow,Intermediate,Fingering,Wool,1155,,D/3 (3.25mm) crochet hook,https://www.crochet.com/winter-mosaic-pillow/p/58169
