Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Flowers and Diamonds Crochet Summer Top,1. Basic,,,Weight 3 - Light,6 mm (J-10),"Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/flowers-and-diamonds-crochet-summer-top-free-pattern/
Moon and Stars Tunisian Crochet Blanket,3. Intermediate,Stylecraft,,Weight 3 - Light,6 mm (J-10),"Tunisian Purl Stitch , Tunisian Simple Stitch","Blue , Gray , Orange",Crochet Baby Blankets,https://easycrochet.com/partner/moon-and-stars-tunisian-crochet-blanket/
Spirit Hexagon Blanket,2. Easy,Stylecraft,Simply DK,Weight 3 - Light,4 mm (G-6),Double Crochet,,Crochet Blankets,https://easycrochet.com/partner/spirit-hexagon-blanket/
Weave Me In Cowl,3. Intermediate,Rowan,,Weight 3 - Light,4 mm (G-6),Double Crochet,Purple,Crochet Cowls,https://easycrochet.com/partner/weave-me-in-cowl/
Cat Eye Mask,2. Easy,Knit Picks,CotLin,Weight 3 - Light,3.5 mm (E-4),"Single Crochet , Single Crochet Two Together , Slip Stitch","Pink , White",Pink,https://easycrochet.com/partner/cat-eye-mask/
Crochet Bikini Top,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-bikini-top/
Bright Bobble Blanket,2. Easy,Hayfield,Bonus DK,Weight 3 - Light,5 mm (H-8),"Bobble , Double Crochet , Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop","Blue , Green , Yellow",Blue,https://easycrochet.com/partner/bright-bobble-blanket/
Crochet Backless Crop Top Pattern,1. Basic,,,Weight 3 - Light,4.5 mm (7),"Double Crochet , Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-backless-crop-top-pattern/
Ela Facecloth Set,2. Easy,Stylecraft,,Weight 3 - Light,4.5 mm (7),"Tunisian Purl Stitch , Tunisian Simple Stitch",Pink,Crochet Bathroom,https://easycrochet.com/partner/ela-facecloth-set/
Blossom Shawl,2. Easy,Mary Maxim,Mellowspun DK,Weight 3 - Light,4.5 mm (7),"Double Crochet , Half Double Crochet",,Crochet Scarves,https://easycrochet.com/partner/blossom-shawl/
Sky Walk Tunisian Chevron Shawl,2. Easy,Stylecraft,,Weight 3 - Light,5.5 mm (I-9),Tunisian Simple Stitch,Blue,Crochet Shawls & Wraps,https://easycrochet.com/partner/sky-walk-tunisian-chevron-shawl/
Ebun Cowl,3. Intermediate,,,Weight 3 - Light,"5 mm (H-8) , 5.5 mm (I-9)","Tunisian Knit Stitch , Tunisian Simple Stitch","Gray , Purple","Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ebun-cowl/
Sheep Egg Warmer Pattern,3. Intermediate,,,Weight 3 - Light,5 mm (H-8),"Bobble , Single Crochet","Pink , White","Crochet Holiday This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sheep-egg-warmer-pattern/
Bingley Hat,2. Easy,Mary Maxim,Mellowspun DK,Weight 3 - Light,4.5 mm (7),"Half Double Crochet , Half Double Crochet Back Loop , Slip Stitch , Slip Stitch Back Loop","Blue , Brown , Gray , White",Blue,https://easycrochet.com/partner/bingley-hat/
Siesta Throw,2. Easy,Stylecraft,,Weight 3 - Light,7 mm,"Tunisian Knit Stitch , Tunisian Purl Stitch","Brown , Pink",Crochet Blankets,https://easycrochet.com/partner/siesta-throw/
Egg Warmer Cozy Pattern,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Single Crochet , Slip Stitch",Blue,"Crochet Holiday This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/egg-warmer-cozy-pattern/
Tea and Biscuit Blanket,2. Easy,Hayfield,Bonus DK,Weight 3 - Light,6 mm (J-10),"Double Crochet , Single Crochet , Slip Stitch","Brown , Neutral",Brown,https://easycrochet.com/partner/tea-and-biscuit-blanket/
Big Chubby Bear,3. Intermediate,"Paintbox Yarn , Yarn and","24/7 Cotton , Simply DK","Weight 3 - Light , Weight 4 - Medium","2.75 mm (C-2) , 3.25 mm (D-3) , 3.5 mm (E-4)","Double Crochet , Half Double Crochet , Single Crochet","Blue , Brown , Neutral , White",Blue,https://easycrochet.com/partner/big-chubby-bear/
Crochet Diamond Mesh Top,2. Easy,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Green,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-diamond-mesh-top/
Herringbone Moss Sweater,3. Intermediate,WeCrochet,Swish DK,Weight 3 - Light,4.5 mm (7),"Herringbone Half Double Crochet , Moss / Linen , Single Crochet , Slip Stitch","Gray , Green , White",Gray,https://easycrochet.com/partner/herringbone-moss-sweater/
Crochet Kitchen Towel,"2. Easy , 3. Intermediate",,,Weight 3 - Light,"4 mm (G-6) , 4.5 mm (7)","Half Double Crochet , Single Crochet , Slip Stitch","Gray , White , Yellow","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-kitchen-towel/
Rainbow Babygrow,2. Easy,,,Weight 3 - Light,6 mm (J-10),Slip Stitch,Variegated,"Crochet Baby Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/rainbow-babygrow/
Spicy Sweater,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet",Red,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/spicy-sweater/
Lovely Lace Coaster Set,3. Intermediate,Stylecraft,,Weight 3 - Light,3.5 mm (E-4),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch , Triple Crochet","Pink , Purple",Crochet Home DÃ©cor,https://easycrochet.com/partner/lovely-lace-coaster-set/
Double Waffle Crochet Baby Blanket,,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Pink,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/double-waffle-crochet-baby-blanket/
Pretty Pastels Baby Blanket,2. Easy,Stylecraft,,Weight 3 - Light,6.5 mm (K-10.5),"Slip Stitch , Tunisian Simple Stitch","Green , Neutral , Orange , Pink , Yellow",Crochet Baby Blankets,https://easycrochet.com/partner/pretty-pastels-baby-blanket/
Crochet Piglet Amigurumi,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Single Crochet , Slip Stitch",Pink,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-piglet-amigurumi/
Fast and Easy Crochet Baby Bonnet Pattern,1. Basic,,,Weight 3 - Light,5.5 mm (I-9),"Double Crochet , Half Double Crochet , Slip Stitch",,"Baby Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/fast-and-easy-crochet-baby-bonnet-pattern/
Christmas Tree Coaster,,,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet Back Loop","Blue , Green , White","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/christmas-tree-coaster/
Crochet Snowflake Coaster,,,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet Back Loop","Blue , Gray , White","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-snowflake-coaster/
Thermal Crochet Coaster,,,,Weight 3 - Light,4.5 mm (7),"Single Crochet , Single Crochet Back Loop","Brown , Orange , Yellow","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/thermal-crochet-coaster/
Abimal Blanket,2. Easy,,,Weight 3 - Light,5.5 mm (I-9),Tunisian Simple Stitch,"Blue , Neutral , Pink","Crochet Baby Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/abimal-blanket/
Woodland Festive Wreath,3. Intermediate,,,Weight 3 - Light,4 mm (G-6),,,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/woodland-festive-wreath/
Easy Peasy Crochet Baby Cardigan,2. Easy,,,Weight 3 - Light,"4 mm (G-6) , 5 mm (H-8)","Double Crochet , Single Crochet , Slip Stitch",Pink,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-peasy-crochet-baby-cardigan/
Crochet Pumpkin Potholder,2. Easy,,,Weight 3 - Light,4 mm (G-6),,,"Crochet Fall Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/how-to-crochet-pumpkin-potholder/
Autumn Fall Leaves,2. Easy,,,Weight 3 - Light,4 mm (G-6),,,"Appliques This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/how-to-crochet-easy-autumn-fall-leaves/
Crochet Christmas Star Pattern,"1. Basic , 2. Easy",,,Weight 3 - Light,4.5 mm (7),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch , Triple Crochet","Brown , Green , Neutral","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-a-christmas-star-pattern/
Orchard Cable Wrist Warmers,3. Intermediate,,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Half Double Crochet",Green,"Crochet Gloves & Mittens This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/orchard-cable-wrist-warmers/
Abbey Blanket,1. Basic,Paintbox Yarn,,Weight 3 - Light,4.5 mm (7),"Half Double Crochet , Single Crochet",,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/abbey-blanket/
Penguin Buddy Crochet Ami Doll Pattern,3. Intermediate,Hobby Lobby,,Weight 3 - Light,4 mm (G-6),"Single Crochet , Single Crochet Two Together","Black , Gray , Orange",Amigurumi,https://easycrochet.com/partner/penguin-buddy-crochet-ami-doll-pattern/
Crochet Baby Blanket Pattern with Ruffles,2. Easy,,,Weight 3 - Light,4.5 mm (7),,Brown,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-baby-blanket-pattern/
Crochet Sheep Blanket,2. Easy,,,Weight 3 - Light,"3.25 mm (D-3) , 4.5 mm (7)",,White,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-sheep-blanket/
Colorful Sampler Crochet Blanket Pattern,3. Intermediate,Paintbox Yarn,Simply DK,Weight 3 - Light,4.5 mm (7),,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/colorful-sampler-crochet-blanket-pattern/
Summer Romance Crochet Top,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Single Crochet",Neutral,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/summer-romance-crochet-top/
Colourful C2C Pillow,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),,,"C2C Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/colourful-c2c-pillow/
Primavera Rectangular Crochet Shawl,2. Easy,Caron Yarn,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Puff",,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/primavera-rectangular-crochet-shawl/
Evelyn Wrap,3. Intermediate,WeCrochet,CotLin,Weight 3 - Light,4 mm (G-6),Single Crochet,Blue,Blue,https://easycrochet.com/partner/evelyn-wrap/
Modern Crochet Pillow,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet",White,White,https://easycrochet.com/partner/modern-crochet-pillow/
Simple Crochet Ear Warmer,2. Easy,,,Weight 3 - Light,5 mm (H-8),Single Crochet Back Loop,"Pink , White","Crochet Ear Warmers & Headbands This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/simple-crochet-ear-warmer/
Heirloom Crochet Baby Blanket,2. Easy,Hobby Lobby,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet","Neutral , White",Crochet Baby Blankets,https://easycrochet.com/partner/heirloom-crochet-baby-blanket/
Rainbow Sherbet Ripple Baby Blanket,2. Easy,Bernat,Softee Baby,Weight 3 - Light,5 mm (H-8),"Half Double Crochet , Half Double Crochet Decrease",Variegated,Variegated,https://easycrochet.com/partner/rainbow-sherbet-ripple-baby-blanket/
Herringbone Moss Mittens,3. Intermediate,WeCrochet,Swish DK,Weight 3 - Light,4.5 mm (7),"Herringbone Half Double Crochet , Moss / Linen",Pink,Pink,https://easycrochet.com/partner/herringbone-moss-mittens/
Beginner’s Guide to Crocheting a Half Circle: Step-by-Step Tutorial,2. Easy,Lion Brand,Feels Like Heaven,Weight 3 - Light,4.5 mm (7),"Double Crochet , Single Crochet",,Appliques,https://easycrochet.com/crochet-half-circle/
Crochet Baby Girl Blanket,1. Basic,Hobby Lobby,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet",Pink,Crochet Baby Blankets,https://easycrochet.com/partner/crochet-baby-girl-blanket/
Beautiful Blue Waves Crochet Scarf,2. Easy,,,Weight 3 - Light,4 mm (G-6),Single Crochet,"Blue , Gray , Variegated","Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/beautiful-blue-waves-crochet-scarf/
Crochet Seaside Tank Top,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,"3.5 mm (E-4) , 4.5 mm (7)","Single Crochet , Slip Stitch",Neutral,Neutral,https://easycrochet.com/partner/crochet-seaside-tank-top/
Crochet Spiral Coasters,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),"Single Crochet , Slip Stitch",White,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-spiral-coasters/
Crochet Round Placemats,1. Basic,,,Weight 3 - Light,4.5 mm (7),"Single Crochet , Slip Stitch",White,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-round-placemats/
Mint Crochet Cable Scarf Pattern,3. Intermediate,Stylecraft,Swish DK,Weight 3 - Light,5 mm (H-8),Half Double Crochet,Green,Green,https://easycrochet.com/partner/mint-crochet-cable-scarf-pattern/
Farmhouse Crochet Pillow,1. Basic,Hobby Lobby,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet",Neutral,Crochet Home DÃ©cor,https://easycrochet.com/partner/farmhouse-crochet-pillow/
Shell Stitch Baby Blanket,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),"Double Crochet , Shell Stitch , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/shell-stitch-baby-blanket/
Crochet Slouchy Beanie,1. Basic,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,4.5 mm (7),"Half Double Crochet , Half Double Crochet Back Loop , Single Crochet",Variegated,Variegated,https://easycrochet.com/partner/crochet-slouchy-beanie/
Striped Crochet Baby Blanket,2. Easy,Hobby Lobby,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet","Blue , Neutral",Crochet Baby Blankets,https://easycrochet.com/partner/striped-crochet-baby-blanket/
Textured Crochet Blanket,2. Easy,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,6 mm (J-10),Single Crochet,"Blue , Neutral , Pink , Purple , Variegated",Blue,https://easycrochet.com/partner/textured-crochet-blanket/
Pinwheel Crochet Swirl Doily,2. Easy,,,Weight 3 - Light,2.75 mm (C-2),"Double Crochet , Single Crochet",,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/pinwheel-crochet-swirl-doily/
Weston Bobble Hat,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),Half Double Crochet,Blue,"Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/weston-bobble-hat/
Fall Decor Autumn Crochet Placemat,2. Easy,,,Weight 3 - Light,4 mm (G-6),Double Crochet,"Brown , Orange","Crochet Fall Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/fall-decor-autumn-crochet-placemat/
Mirabilis Puff Stitch Beanie,3. Intermediate,WeCrochet,Kindred,Weight 3 - Light,4.5 mm (7),Puff,Orange,Orange,https://easycrochet.com/partner/mirabilis-puff-stitch-beanie/
Modern Square Crochet Blanket Pattern,2. Easy,Patons,Beehive Baby Sport,Weight 3 - Light,4 mm (G-6),"Half Double Crochet , Half Double Crochet Back Loop",Gray,Gray,https://easycrochet.com/modern-square-blanket-pattern/
Lilly Easy Poncho,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet , Slip Stitch",Blue,Blue,https://easycrochet.com/partner/lilly-easy-poncho/
“Love You To The Moon” Poncho Wrap,3. Intermediate,Lion Brand,Coboo Yarn,Weight 3 - Light,"4 mm (G-6) , 5 mm (H-8)",Moss / Linen,Neutral,Neutral,https://easycrochet.com/partner/love-you-to-the-moon-poncho-wrap/
Rose Dreams Entrelac Shawl,3. Intermediate,,,Weight 3 - Light,5.5 mm (I-9),Tunisian Simple Stitch,Variegated,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/rose-dreams-entrelac-shawl/
The Home Girl Sweater,,,,,,,,,
Crochet Teddy Bear Coaster Free Pattern,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet , Slip Stitch",Brown,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-teddy-bear-coaster-free-pattern/
Cute Unicorn Slippers,3. Intermediate,,,Weight 3 - Light,3.5 mm (E-4),"Half Double Crochet , Half Double Crochet Decrease , Single Crochet , Triple Crochet",White,"Crochet Footwear This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cute-unicorn-slippers/
Floral Granny Square Cushion,2. Easy,,,Weight 3 - Light,4 mm (G-6),Double Crochet,"Pink , Purple","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/floral-granny-square-cushion/
Diamond Bobble Stitch Cushions,3. Intermediate,,,Weight 3 - Light,4 mm (G-6),Bobble,Blue,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/diamond-bobble-stitch-cushions/
Hayden Mosaic Bag,3. Intermediate,WeCrochet,CotLin,Weight 3 - Light,5.5 mm (I-9),"Double Crochet , Single Crochet Back Loop",,Crochet Bags & Purses,https://easycrochet.com/partner/hayden-mosaic-bag/
Herringbone Circle Placemat,2. Easy,Caron Yarn,,Weight 3 - Light,5 mm (H-8),Herringbone Double Crochet,Variegated,Crochet Kitchen,https://easycrochet.com/partner/herringbone-circle-placemat/
Rainbow Granny Square Sweater,2. Easy,,,Weight 3 - Light,4.5 mm (7),Double Crochet,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/rainbow-granny-square-sweater/
Eyelet Lace Tee,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Single Crochet , Triple Crochet",Neutral,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/eyelet-lace-tee/
Eleanor Sweater Scarf,2. Easy,WeCrochet,Swish DK,Weight 3 - Light,4.5 mm (7),Half Double Crochet,Pink,Pink,https://easycrochet.com/partner/eleanor-sweater-scarf/
Holbourne Mitts,3. Intermediate,WeCrochet,Alpaca Cloud DK,Weight 3 - Light,4 mm (G-6),Half Double Crochet,Neutral,Neutral,https://easycrochet.com/partner/holbourne-mitts/
Bobble Stitch Top,3. Intermediate,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),Bobble,Blue,Blue,https://easycrochet.com/partner/bobble-stitch-top/
Crochet Beginner Summer Top,1. Basic,Lion Brand,Coboo Yarn,Weight 3 - Light,3.25 mm (D-3),"Double Crochet , Single Crochet",White,White,https://easycrochet.com/partner/beginner-summer-top/
Modern Crochet Top Tee,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),Double Crochet,Blue,Blue,https://easycrochet.com/partner/modern-top-tee/
Bubble Gum Crochet Poncho,3. Intermediate,,,Weight 3 - Light,4 mm (G-6),"Bobble , Double Crochet , Single Crochet",Pink,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/bubble-gum-poncho/
Comfy Cotton Wrap,2. Easy,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,6 mm (J-10),Double Crochet,Variegated,Variegated,https://easycrochet.com/partner/comfy-cotton-wrap/
"Amigurumi Chick, Lamb and Bunny Toys",2. Easy,DMC,Natura Just Cotton,Weight 3 - Light,2.75 mm (C-2),"Single Crochet , Slip Stitch",,Amigurumi,https://easycrochet.com/partner/amigurumi-chick-lamb-and-bunny-toys/
Linen Stitch Crochet Kimono Cardigan,2. Easy,Lion Brand,24/7 Cotton,Weight 3 - Light,"4 mm (G-6) , 5 mm (H-8)","Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/linen-stitch-crochet-kimono-cardigan/
Lacy Lemon Drop Kimono Cardigan,2. Easy,Lion Brand,24/7 Cotton,Weight 3 - Light,6 mm (J-10),"Double Crochet , Half Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/partner/lacy-lemon-drop-kimono-cardigan/
Spring Time Crochet Kimono,2. Easy,,,Weight 3 - Light,6 mm (J-10),"Single Crochet , Triple Crochet",Blue,"Crochet Cardigans This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/spring-time-crochet-kimono/
Spill The Beans Baby Blanket,2. Easy,"Lion Brand , Loops and Threads",Feels Like Butta,Weight 3 - Light,5.5 mm (I-9),"Half Double Crochet , Puff , Slip Stitch",Variegated,Variegated,https://easycrochet.com/partner/spill-the-beans-baby-blanket/
Spring’s Arrival Scarf,2. Easy,Premier Yarns,,Weight 3 - Light,5.5 mm (I-9),"Double Crochet , Slip Stitch","Green , Pink , White",Crochet Infinity Scarves,https://easycrochet.com/partner/springs-arrival-scarf/
Crochet Griddle Stitch Scarf Pattern,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,4 mm (G-6),"Double Crochet , Griddle , Single Crochet",Pink,Pink,https://easycrochet.com/crochet-griddle-stitch-scarf-pattern/
Easy Square Crochet Potholder Pattern,2. Easy,Lion Brand,Flikka,Weight 3 - Light,5 mm (H-8),"Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/the-best-crochet-potholder-pattern/
The Olivia Free Crochet Top Pattern,3. Intermediate,Lion Brand,Jeans,Weight 3 - Light,"3.75 mm (F-5) , 5 mm (H-8)","Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/olivia-free-crochet-top-pattern/
Crochet Unicorn Scarf Mandala Pattern,3. Intermediate,Lion Brand,Mandala,"Weight 3 - Light , Weight 4 - Medium",5 mm (H-8),Half Double Crochet,"Blue , Green , Pink , Purple",Blue,https://easycrochet.com/unicorn-crochet-scarf-pattern/
Easy Crochet Cover Up Pattern,2. Easy,Lion Brand,"Comfy Cotton Blend , Flikka",Weight 3 - Light,6 mm (J-10),"Double Crochet , Half Double Crochet",Neutral,Neutral,https://easycrochet.com/crochet-cover-up-pattern/
Easy Adjustable Socks,,,,,,,,,
Ombre Triangle Shawl Crochet Pattern,3. Intermediate,Lion Brand,Mandala,Weight 3 - Light,5 mm (H-8),Double Crochet,"Blue , Variegated",Blue,https://easycrochet.com/ombre-crochet-triangle-wrap-pattern/
Simply Sweet Crochet Beanie Hat Pattern,2. Easy,Caron Yarn,Caron Cakes,Weight 3 - Light,4 mm (G-6),Single Crochet,"Pink , Purple",Pink,https://easycrochet.com/simply-sweet-beanie/
Gracelyn Crochet Scarf with Fringe Pattern,2. Easy,,,Weight 3 - Light,6 mm (J-10),Half Double Crochet,Gray,Crochet Scarves The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/crochet-cowl-pattern-gracelyn-fringe/
Lightweight Grey Cowl Free Crochet Pattern,2. Easy,Bernat,Softee Baby,Weight 3 - Light,5 mm (H-8),"Double Crochet , Half Double Crochet",Gray,Gray,https://easycrochet.com/crochet-pattern-lightweight-grey-cowl/
