Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Details
Easy Evergreen Ombre Crochet Throw,2. Easy,Bernat,Blanket Yarn,Weight 6 - Super Bulky,9 mm (M/N-13),Double Crochet,Green,Green
Easy Crochet Baby Blanket Pattern for Spring,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,,Half Double Crochet,,Crochet Baby Blankets The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs
Broadquay Blanket,3. Intermediate,Knit Picks,Brava Worsted,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Half Double Crochet Two Together , Single Crochet , Slip Stitch , Triple Crochet",Brown,Brown
Double Waffle Crochet Baby Blanket,,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Pink,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Duck Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Green , Orange , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Butterfly Amigurumi Crochet Pattern,2. Easy,,,,,,"Black , Pink , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Crochet Bunny Amigurumi Keychain,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Gray , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Chubby Gnome Christmas,2. Easy,"Lion Brand , Paintbox Yarn , Red Heart",24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light","2.25 mm (B-1) , 2.75 mm (C-2)","Double Crochet , Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch","Green , Red , White",Green
Bubbles the Octopus,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Blue , Orange","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Santa & Mrs. Claus Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch , Triple Crochet","Red , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Theo Amigurumi No Sew Bunny,2. Easy,,,Weight 4 - Medium,4.5 mm (7),Single Crochet,"Blue , Gray , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Donkey Amigurumi,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Single Crochet , Slip Stitch",Gray,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Penguin the Chef,4. Complex,,,"Weight 2 - Fine , Weight 3 - Light","2.75 mm (C-2) , 3.25 mm (D-3)","Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch","Black , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Hedgehog Amigurumi,3. Intermediate,,,Weight 6 - Super Bulky,"5 mm (H-8) , 6 mm (J-10)","Single Crochet , Slip Stitch","Black , Brown , Neutral","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Love Elephant Amigurumi,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Pink , Red , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Halloween Pumpkin,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Green , Orange","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Axl the Fox Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Orange , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Baby Jellyfish Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Double Crochet , Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch",,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Squirrel Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Brown , Neutral","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Amigurumi Ghost,2. Easy,Lion Brand,,Weight 4 - Medium,3.75 mm (F-5),"Single Crochet , Single Crochet Two Together , Slip Stitch","Green , White",Amigurumi
The Foolish Frankenstein,3. Intermediate,Lion Brand,24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light , Weight 4 - Medium","2.75 mm (C-2) , 3.25 mm (D-3)","Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop","Black , Blue , Brown",Black
Amigurumi Spider,2. Easy,Bernat,Blanket Yarn,Weight 5 - Bulky,9 mm (M/N-13),Single Crochet,Purple,Purple
Pillow The Owl,"3. Intermediate , 4. Complex",Red Heart,24/7 Cotton,Weight 4 - Medium,"2.75 mm (C-2) , 3.25 mm (D-3)","Double Crochet , Single Crochet , Slip Stitch",,Amigurumi
Free Cat Amigurumi Crochet Pattern,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch",Gray,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Bee Amigurumi Crochet Pattern,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Bat Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch","Black , Purple","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Amigurumi Elephant,3. Intermediate,Patons,,Weight 3 - Light,2.25 mm (B-1),"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch","Pink , Yellow",Amigurumi
Amigurumi Octopus,2. Easy,"Bernat , Patons",,Weight 3 - Light,3.25 mm (D-3),"Single Crochet , Single Crochet Two Together",Blue,Amigurumi
Cute Alpaca Amigurumi,2. Easy,,,"Weight 2 - Fine , Weight 5 - Bulky , Weight 6 - Super Bulky","2.25 mm (B-1) , 3.5 mm (E-4) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Neutral , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Amigurumi Sea Turtle,2. Easy,"Bernat , Hobbii","Baby Blanket , Blanket Yarn",Weight 6 - Super Bulky,10 mm (N/P-15),"Double Crochet , Single Crochet , Single Crochet Two Together , Slip Stitch","Green , Neutral",Green
Free Pig Amigurumi Crochet Pattern,2. Easy,,,,"2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Casper the Dog – Free Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Neutral , Orange , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Free Lion Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Brown , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Big Chubby Bear,3. Intermediate,"Paintbox Yarn , Yarn and","24/7 Cotton , Simply DK","Weight 3 - Light , Weight 4 - Medium","2.75 mm (C-2) , 3.25 mm (D-3) , 3.5 mm (E-4)","Double Crochet , Half Double Crochet , Single Crochet","Blue , Brown , Neutral , White",Blue
Bunnies Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Single Crochet , Single Crochet Two Together , Slip Stitch","Blue , Pink , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Chinese New Year Rabbit,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Red , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Basic Body Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch",Neutral,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Monkey,"2. Easy , 3. Intermediate",,,Weight 2 - Fine,2.75 mm (C-2),Single Crochet,Brown,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Christmas Ornament Balls with Snail,1. Basic,,,Weight 2 - Fine,2.25 mm (B-1),"Bobble , Double Crochet , Single Crochet , Slip Stitch","Black , Blue , Brown , Green , Orange , Pink , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Piglet Amigurumi,2. Easy,,,Weight 3 - Light,4 mm (G-6),"Single Crochet , Slip Stitch",Pink,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Luffy Crochet Pattern,2. Easy,,,,2mm,"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together","Blue , Red , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Bread Pattern,,,,,,,,
Cute Bee Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Single Crochet Two Together , Slip Stitch","Black , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Red Panda,2. Easy,Lion Brand,24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light , Weight 4 - Medium",2.25 mm (B-1),Single Crochet,"Black , Brown , Orange",Black
Little Jellyfish Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Front Loop Single Crochet , Half Double Crochet , Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch","Green , Orange , Pink , Purple , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Bunny Tail and Ears Egg Cozy,2. Easy,,,Weight 3 - Light,5 mm (H-8),Single Crochet,"Gray , White","Easter Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Yasmin Crochet Heart Coaster,2. Easy,Stylecraft,Simply DK,Weight 3 - Light,5 mm (H-8),"Single Crochet , Triple Crochet","Pink , White",Pink
14 Beginner Free Crochet Patterns for Valentine’s Day,,,,,,,,
Easy Christmas Stocking Patterns for Beginners,,,,,,,,
Baroco Placemat,2. Easy,Hobbii,,Weight 4 - Medium,6.5 mm (K-10.5),Tunisian Simple Stitch,"Green , Red",Christmas Crochet Patterns
Easy and Free Christmas Crochet Patterns for Beginners,,,,,,,,
Cozy Up This Winter With These Crochet Coffee Cozies,,,,,,,,
Get Cozy with Our Pine Tree Crochet Pattern Collection,,,,,,,,
Last-Minute Halloween Costumes to Crochet: Easy Ideas,,,,,,,,
Tweed Stacking Pumpkins,2. Easy,WeCrochet,Brava Worsted,Weight 4 - Medium,4.5 mm (7),Double Crochet,"Brown , Green , Orange",Brown
12 Fun Crochet Christmas Decorations To Make for Your Home,,,,,,,,
Apple Crochet Patterns Perfect for Fall,,,,,,,,
Fall Apple Crochet Coaster,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",Red,Red
Cozy Up Your Home with Crochet Fall Decor (All Free Patterns),,,,,,,,
Festivities Placemat,3. Intermediate,Hobbii,,Weight 1 - Super Fine,3.5 mm (E-4),,"Green , Red , White","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
5 Crochet Patterns For Thanksgiving (All Free),,,,,,,,
Top 5 Crochet Fall Coaster Patterns,,,,,,,,
7 Cozy Fall Crochet Scarf Patterns You’ll Love,,,,,,,,
Pom Pom Egg Warmer Cozy,2. Easy,,,Weight 4 - Medium,5 mm (H-8),Single Crochet,"Blue , Neutral","Crochet Holiday This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
13 Simple DIY Ornaments for Christmas Using Yarn,,,,,,,,
Sheep Egg Warmer Pattern,3. Intermediate,,,Weight 3 - Light,5 mm (H-8),"Bobble , Single Crochet","Pink , White","Crochet Holiday This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Sweetheart Placemat,2. Easy,,,Weight 2 - Fine,4 mm (G-6),Tunisian Simple Stitch,Pink,"Crochet Home Décor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Egg Warmer Cozy Pattern,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Single Crochet , Slip Stitch",Blue,"Crochet Holiday This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
21 Adorable and Free Bunny Crochet Patterns for Easter,,,,,,,,
15 Easy & Free St. Patrick’s Day Crochet Patterns,,,,,,,,
10 Best Crochet Easter Egg Patterns,,,,,,,,
Quick Crochet Snowflake Ornament,2. Easy,,,,,,,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Mini Santa Hat Ornament,2. Easy,,,,,Single Crochet,,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
